Quest/Stage Id,Name,LargeImageKey
100000,Prologue: The Forgotten Sky,st08
100001,Chapter 1: The Western Frontier,st00
100002,Prologue: The Forgotten Sky,st08
100003,Chapter 1: The Western Frontier,st00
100005,Prologue: The Forgotten Sky,st08
100006,Prologue: The Forgotten Sky,st08
101000,Chapter 1: The Western Frontier,folca
101001,Chapter 2: Tempest On The Horizon,st01
101002,Chapter 2: Tempest On The Horizon,st01
101003,Chapter 3: Creation Of The Stars,st03
101004,Chapter 3: Creation Of The Stars,st03
101005,Chapter 3: Creation Of The Stars,st03
101F00,Chapter 2: Tempest On The Horizon,st08
102000,Chapter 4: Skies Forever Blue,folca
102002,Chapter 4: Skies Forever Blue,st02
102F00,Chapter 4: Skies Forever Blue,st08
103001,Chapter 5: Shadows In The Snowscape,st03
103F00,Chapter 5: Shadows In The Snowscape,st03
104000,Chapter 6: In Search Of Hope,seedhollow
104001,Chapter 6: In Search Of Hope,st04
104003,Chapter 6: In Search Of Hope,st04
104F00,Chapter 6: In Search Of Hope,st03
104F01,Chapter 6: In Search Of Hope,st08
105001,Chapter 7: Warning Signs,st05
105002,Chapter 7: Warning Signs,st08
105F00,Chapter 7: Warning Signs,st08
105F01,Chapter 7: Warning Signs,st08
106000,Chapter 8: Relink,st06
106001,Chapter 8: Relink,st06
106002,Chapter 8: Relink,st06
106F00,Chapter 8: Relink,st08
107000,Chapter 9: Opposing Wills,st06
107001,Chapter 9: Opposing Wills,st07
107002,Chapter 9: Opposing Wills,st07
107F00,Chapter 9: Opposing Wills,st08
108000,Final Chapter: Id,st08
108001,Final Chapter: Id,st08
108002,Final Chapter: Id,st08
108F00,Final Chapter: Id,st08
200000,"Un lamento persistente"
200001,"Salva a los crustáceos"
200002,"Champiñones milagrosos"
200003,"Aquí no hay quien viva"
200100,"Resultados garantizados"
200101,"Adoquines perfectos"
200102,"Rutas infestadas"
200103,"Sueños flotantes"
200104,"Mucho tiempo sin reparar"
200200,"Recuerdos en el hielo"
200201,"Noches delicadas"
210220,"El licor prohibido"
210221,"Interior de hielo"
210223,"Giran y giran las aspas"
210225,"Probando cosas nuevas"
210227,"Por la familia"
210228,"Lobos a las puertas"
210229,"Ayuda desde lejos"
200400,"Delicatesen"
200401,"Material nuevo"
210420,"Cacería de insectos"
210421,"Plácidamente"
210423,"Coctelería candente"
210425,"No hay paraíso sin serpiente"
210427,"Réquiem violento"
210428,"La ira del Velo de la Espada"
201002,"Un curioso amuleto"
201005,"Una nueva hélice"
201006,"Apoyo a las tropas"
201007,"Lo tengo en la punta"
211021,"Ojo por ojo, diente por saurio"
211023,"Seres despreciables"
211025,"Ay, la espalda..."
211027,"Huesos refrescantes"
211030,"Magiamorfosis"
201102,"Aves rapaces"
211121,"Tecnología sensible"
211123,"Insuflar vida"
211125,"Investigación viscosa"
211130,"Lección oculta"
211230,"Rumbo a lo desconocido"
211330,"¿Es física o química?"
211430,"Dentro de lo esperado"
211530,"Recuerdos memorables"
202002,"Investigación de campo"
202005,"No me olvides"
202006,"Todo con moderación"
202007,"Buscando piedras divinas"
202010,"Purificando a los muertos"
212021,"El primer paso es el más duro"
212024,"Romper, reducir, reciclar"
212026,"Fuente de agua helada"
212030,"Negocios ardientes"
212031,"Sombras de pesadilla"
212130,"Luces y sombras"
212230,"Precaución ante todo"
212330,"Madre agua"
212430,"De la tierra"
